credit_history;purpose;credit_amount;savings_status;employment;installment_commitment;personal_status;age;housing;existing_credits;job;class
'existing paid';radio/tv;2171;'<100';'<1';2;'female div/dep/mar';29;own;1;skilled;good
'existing paid';'new car';1007;'>=1000';'1<=X<4';4;'male mar/wid';22;own;1;skilled;good
'existing paid';education;1819;'<100';'1<=X<4';4;'male single';37;'for free';1;skilled;bad
'existing paid';radio/tv;2394;'no known savings';'1<=X<4';4;'female div/dep/mar';25;own;1;skilled;good
'existing paid';'used car';8133;'<100';'1<=X<4';1;'female div/dep/mar';30;own;1;skilled;good
'critical/other existing credit';radio/tv;730;'no known savings';'>=7';4;'male single';46;rent;2;'unskilled resident';good
'critical/other existing credit';other;1164;'<100';'>=7';3;'male single';51;'for free';2;'high qualif/self emp/mgmt';good
'critical/other existing credit';business;5954;'<100';'4<=X<7';2;'female div/dep/mar';41;own;2;'unskilled resident';good
'existing paid';education;1977;'no known savings';'>=7';4;'male single';40;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';1526;'<100';'>=7';4;'male single';66;'for free';2;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;3965;'<100';'<1';4;'male single';34;own;1;skilled;bad
'delayed previously';radio/tv;4771;'<100';'4<=X<7';2;'male single';51;own;1;skilled;good
'no credits/all paid';'used car';9436;'no known savings';'1<=X<4';2;'male single';39;own;1;'unskilled resident';good
'existing paid';furniture/equipment;3832;'<100';'<1';2;'male mar/wid';22;own;1;skilled;good
'existing paid';radio/tv;5943;'no known savings';'<1';1;'female div/dep/mar';44;own;2;skilled;bad
'existing paid';radio/tv;1213;'500<=X<1000';'>=7';4;'male single';47;own;1;skilled;good
'existing paid';business;1568;'100<=X<500';'1<=X<4';3;'female div/dep/mar';24;rent;1;'unskilled resident';good
'existing paid';other;1755;'<100';'>=7';4;'female div/dep/mar';58;own;1;'unskilled resident';good
'existing paid';radio/tv;2315;'<100';'>=7';3;'male single';52;own;1;'unskilled resident';good
'critical/other existing credit';business;1412;'<100';'1<=X<4';4;'female div/dep/mar';29;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;1295;'<100';'<1';4;'female div/dep/mar';27;own;2;skilled;good
'existing paid';education;12612;'100<=X<500';'1<=X<4';1;'male single';47;'for free';1;skilled;bad
'existing paid';'new car';2249;'100<=X<500';'4<=X<7';4;'male single';30;own;1;'high qualif/self emp/mgmt';good
'no credits/all paid';repairs;1108;'<100';'4<=X<7';4;'male single';28;own;2;skilled;bad
'critical/other existing credit';radio/tv;618;'<100';'>=7';4;'male single';56;own;1;skilled;good
'critical/other existing credit';'used car';1409;'<100';'>=7';4;'male single';54;own;1;skilled;good
'critical/other existing credit';radio/tv;797;'no known savings';'>=7';4;'female div/dep/mar';33;own;1;'unskilled resident';bad
'critical/other existing credit';furniture/equipment;3617;'no known savings';'>=7';4;'male single';20;rent;2;skilled;good
'existing paid';'new car';1318;'>=1000';'>=7';4;'male single';54;own;1;skilled;good
'no credits/all paid';business;15945;'<100';'<1';3;'male single';58;rent;1;skilled;bad
'critical/other existing credit';education;2012;'no known savings';'4<=X<7';4;'female div/dep/mar';61;own;1;skilled;good
'existing paid';business;2622;'100<=X<500';'1<=X<4';4;'male single';34;own;1;skilled;good
'critical/other existing credit';radio/tv;2337;'<100';'>=7';4;'male single';36;own;1;skilled;good
'delayed previously';'used car';7057;'no known savings';'4<=X<7';3;'male single';36;rent;2;'high qualif/self emp/mgmt';good
'existing paid';'new car';1469;'100<=X<500';'>=7';4;'male mar/wid';41;rent;1;'unskilled resident';good
'existing paid';radio/tv;2323;'<100';'4<=X<7';4;'male single';24;rent;1;skilled;good
'delayed previously';radio/tv;932;'<100';'1<=X<4';3;'female div/dep/mar';24;own;1;skilled;good
'critical/other existing credit';furniture/equipment;1919;'<100';'4<=X<7';4;'male single';35;rent;1;skilled;good
'existing paid';'used car';2445;'no known savings';'<1';2;'male mar/wid';26;rent;1;skilled;good
'critical/other existing credit';other;11938;'<100';'1<=X<4';2;'male single';39;own;2;'high qualif/self emp/mgmt';bad
'all paid';'new car';6458;'<100';'>=7';2;'male single';39;own;2;'high qualif/self emp/mgmt';bad
'existing paid';'new car';6078;'<100';'4<=X<7';2;'male single';32;own;1;skilled;good
'existing paid';furniture/equipment;7721;'no known savings';'<1';1;'female div/dep/mar';30;own;1;skilled;good
'existing paid';business;1410;'500<=X<1000';'>=7';1;'male mar/wid';35;own;1;skilled;good
'delayed previously';business;1449;'100<=X<500';'>=7';1;'male div/sep';31;own;2;skilled;good
'existing paid';education;392;'<100';'<1';4;'female div/dep/mar';23;rent;1;skilled;good
'existing paid';'new car';6260;'<100';'4<=X<7';3;'male single';28;rent;1;'unskilled resident';good
'critical/other existing credit';'new car';7855;'<100';'1<=X<4';4;'female div/dep/mar';25;own;2;skilled;bad
'existing paid';radio/tv;1680;'500<=X<1000';'>=7';3;'male mar/wid';35;own;1;skilled;good
'critical/other existing credit';radio/tv;3578;'no known savings';'>=7';4;'male single';47;own;1;skilled;good
'existing paid';radio/tv;7174;'no known savings';'4<=X<7';4;'female div/dep/mar';30;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';furniture/equipment;2132;'no known savings';'<1';2;'female div/dep/mar';27;rent;2;skilled;good
'critical/other existing credit';furniture/equipment;4281;'500<=X<1000';'1<=X<4';1;'female div/dep/mar';23;own;2;skilled;bad
'critical/other existing credit';'new car';2366;'500<=X<1000';'4<=X<7';3;'male div/sep';36;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1835;'<100';'1<=X<4';3;'female div/dep/mar';25;own;2;skilled;bad
'critical/other existing credit';'used car';3868;'<100';'>=7';4;'female div/dep/mar';41;rent;2;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1768;'<100';'1<=X<4';3;'male single';24;rent;1;'unskilled resident';good
'critical/other existing credit';'new car';781;'<100';'>=7';4;'male single';63;'for free';2;skilled;good
'existing paid';furniture/equipment;1924;'no known savings';'<1';4;'female div/dep/mar';27;rent;1;skilled;bad
'critical/other existing credit';'new car';2121;'<100';'1<=X<4';4;'male single';30;own;2;skilled;good
'existing paid';radio/tv;701;'<100';'1<=X<4';4;'male mar/wid';40;own;1;'unskilled resident';good
'existing paid';repairs;639;'<100';'1<=X<4';4;'male single';30;own;1;skilled;bad
'critical/other existing credit';'used car';1860;'<100';unemployed;4;'male single';34;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';3499;'<100';'1<=X<4';3;'female div/dep/mar';29;own;2;skilled;bad
'existing paid';'new car';8487;'no known savings';'4<=X<7';1;'female div/dep/mar';24;own;1;skilled;good
'delayed previously';education;6887;'<100';'1<=X<4';4;'male single';29;own;1;skilled;bad
'existing paid';furniture/equipment;2708;'<100';'<1';2;'male single';27;own;2;'unskilled resident';good
'existing paid';furniture/equipment;1984;'<100';'1<=X<4';4;'male single';47;'for free';2;skilled;good
'existing paid';radio/tv;10144;'100<=X<500';'4<=X<7';2;'female div/dep/mar';21;own;1;skilled;good
'critical/other existing credit';radio/tv;1240;'no known savings';'>=7';4;'female div/dep/mar';38;own;2;skilled;good
'delayed previously';'used car';8613;'>=1000';'1<=X<4';2;'male single';27;own;2;skilled;good
'existing paid';radio/tv;766;'500<=X<1000';'1<=X<4';4;'male single';66;own;1;'unskilled resident';bad
'critical/other existing credit';radio/tv;2728;'no known savings';'4<=X<7';4;'male single';35;own;3;skilled;good
'existing paid';radio/tv;1881;'<100';'1<=X<4';2;'female div/dep/mar';44;rent;1;'unskilled resident';good
'existing paid';'new car';709;'>=1000';'<1';2;'male mar/wid';27;own;1;'unemp/unskilled non res';good
'existing paid';radio/tv;4795;'<100';'<1';4;'female div/dep/mar';30;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;3416;'<100';'1<=X<4';3;'male single';27;own;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;2462;'<100';'1<=X<4';2;'male single';22;own;1;skilled;bad
'critical/other existing credit';furniture/equipment;2288;'<100';'<1';4;'female div/dep/mar';23;own;1;skilled;good
'all paid';business;3566;'100<=X<500';'4<=X<7';4;'male single';30;own;1;skilled;good
'critical/other existing credit';'new car';860;'<100';'>=7';1;'female div/dep/mar';39;own;2;skilled;good
'critical/other existing credit';'new car';682;'100<=X<500';'4<=X<7';4;'female div/dep/mar';51;own;2;skilled;good
'critical/other existing credit';furniture/equipment;5371;'<100';'1<=X<4';3;'male single';28;own;2;skilled;good
'critical/other existing credit';radio/tv;1582;'>=1000';'>=7';4;'male single';46;own;2;skilled;good
'existing paid';radio/tv;1346;'100<=X<500';'>=7';2;'male single';42;'for free';1;skilled;good
'existing paid';radio/tv;1924;'<100';'1<=X<4';1;'male single';38;own;1;skilled;good
'existing paid';radio/tv;5848;'<100';'1<=X<4';4;'male single';24;own;1;skilled;good
'critical/other existing credit';'used car';7758;'>=1000';'>=7';2;'female div/dep/mar';29;rent;1;skilled;good
'delayed previously';business;6967;'100<=X<500';'4<=X<7';4;'male single';36;rent;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1282;'<100';'1<=X<4';2;'female div/dep/mar';20;rent;1;skilled;bad
'critical/other existing credit';repairs;1288;'100<=X<500';'>=7';3;'male single';48;own;2;skilled;good
'all paid';retraining;339;'<100';'>=7';4;'male mar/wid';45;own;1;'unskilled resident';good
'existing paid';'new car';3512;'100<=X<500';'4<=X<7';2;'male single';38;own;2;skilled;good
'critical/other existing credit';radio/tv;1898;'no known savings';'1<=X<4';1;'male single';34;own;2;'unskilled resident';good
'critical/other existing credit';radio/tv;2872;'100<=X<500';'>=7';3;'male single';36;own;1;skilled;good
'critical/other existing credit';'new car';1055;'<100';'<1';4;'female div/dep/mar';30;own;2;skilled;good
'existing paid';'domestic appliance';1262;'500<=X<1000';'4<=X<7';4;'male single';36;own;2;skilled;good
'existing paid';'new car';7308;'<100';unemployed;2;'male single';70;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';'new car';909;'500<=X<1000';'>=7';4;'male single';36;own;1;skilled;good
'existing paid';furniture/equipment;2978;'500<=X<1000';'1<=X<4';1;'male single';32;own;1;skilled;good
'existing paid';furniture/equipment;1131;'<100';unemployed;4;'female div/dep/mar';33;own;1;skilled;bad
'existing paid';furniture/equipment;1577;'>=1000';'<1';4;'female div/dep/mar';20;own;1;skilled;good
'existing paid';furniture/equipment;3972;'<100';'4<=X<7';2;'female div/dep/mar';25;rent;1;skilled;good
'critical/other existing credit';business;1935;'<100';'>=7';4;'male div/sep';31;own;2;skilled;bad
'no credits/all paid';'new car';950;'<100';'>=7';4;'male single';33;rent;2;skilled;bad
'existing paid';furniture/equipment;763;'<100';'1<=X<4';4;'female div/dep/mar';26;own;1;skilled;good
'delayed previously';furniture/equipment;2064;'<100';unemployed;3;'female div/dep/mar';34;own;1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;1414;'<100';'1<=X<4';4;'male single';33;own;1;skilled;good
'delayed previously';education;3414;'<100';'<1';2;'male single';26;own;2;skilled;bad
'all paid';'used car';7485;'no known savings';unemployed;4;'female div/dep/mar';53;own;1;'high qualif/self emp/mgmt';bad
'existing paid';furniture/equipment;2577;'<100';'1<=X<4';2;'male div/sep';42;own;1;skilled;good
'critical/other existing credit';radio/tv;338;'500<=X<1000';'>=7';4;'male single';52;own;2;skilled;good
'existing paid';radio/tv;1963;'<100';'4<=X<7';4;'male single';31;rent;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';571;'<100';'>=7';4;'male single';65;own;2;skilled;good
'delayed previously';business;9572;'<100';'<1';1;'male div/sep';28;own;2;skilled;bad
'delayed previously';business;4455;'<100';'1<=X<4';2;'male div/sep';30;own;2;'high qualif/self emp/mgmt';bad
'all paid';'new car';1647;'no known savings';'1<=X<4';4;'male single';40;own;2;'unskilled resident';bad
'critical/other existing credit';furniture/equipment;3777;'>=1000';'1<=X<4';4;'male single';50;own;1;skilled;good
'critical/other existing credit';'new car';884;'<100';'>=7';4;'male single';36;own;1;skilled;bad
'critical/other existing credit';radio/tv;1360;'<100';'1<=X<4';4;'male single';31;own;2;skilled;good
'all paid';'used car';5129;'<100';'>=7';2;'female div/dep/mar';74;'for free';1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'new car';1175;'<100';unemployed;2;'male single';68;'for free';3;'unemp/unskilled non res';good
'existing paid';radio/tv;674;'100<=X<500';'4<=X<7';4;'male mar/wid';20;own;1;skilled;bad
'no credits/all paid';furniture/equipment;3244;'<100';'1<=X<4';1;'female div/dep/mar';33;own;2;skilled;good
'existing paid';business;4591;'>=1000';'1<=X<4';2;'male single';54;own;3;'high qualif/self emp/mgmt';bad
'no credits/all paid';business;3844;'100<=X<500';'4<=X<7';4;'male single';34;'for free';1;'unskilled resident';bad
'existing paid';business;3915;'<100';'1<=X<4';4;'male single';36;own;1;skilled;bad
'existing paid';radio/tv;2108;'<100';'4<=X<7';2;'male mar/wid';29;rent;1;skilled;good
'existing paid';radio/tv;3031;'100<=X<500';'1<=X<4';4;'male single';21;rent;1;skilled;bad
'critical/other existing credit';education;1501;'<100';'>=7';2;'female div/dep/mar';34;own;2;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;1382;'<100';'1<=X<4';1;'female div/dep/mar';28;own;2;skilled;good
'existing paid';furniture/equipment;951;'100<=X<500';'<1';4;'female div/dep/mar';27;rent;4;skilled;bad
'existing paid';'used car';2760;'no known savings';'>=7';4;'male single';36;'for free';1;skilled;good
'delayed previously';furniture/equipment;4297;'<100';'>=7';4;'male div/sep';40;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';education;936;'500<=X<1000';'>=7';4;'male single';52;own;2;skilled;good
'existing paid';'new car';1168;'<100';'1<=X<4';4;'male mar/wid';27;own;1;'unskilled resident';good
'delayed previously';business;5117;'<100';'4<=X<7';3;'male single';26;own;2;skilled;good
'existing paid';retraining;902;'<100';'4<=X<7';4;'male mar/wid';21;rent;1;skilled;bad
'critical/other existing credit';'new car';1495;'<100';'>=7';4;'male single';38;own;2;'unskilled resident';good
'critical/other existing credit';'used car';10623;'<100';'>=7';3;'male single';38;'for free';3;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;1935;'<100';'>=7';4;'male single';43;own;3;skilled;good
'critical/other existing credit';'domestic appliance';1424;'<100';'4<=X<7';4;'male single';26;own;1;skilled;good
'existing paid';business;6568;'<100';'1<=X<4';2;'male mar/wid';21;own;1;'unskilled resident';good
'existing paid';'used car';1413;'>=1000';'4<=X<7';3;'male single';55;own;1;skilled;good
'critical/other existing credit';radio/tv;3074;'no known savings';'1<=X<4';1;'male single';33;own;2;skilled;good
'existing paid';radio/tv;3835;'no known savings';'>=7';2;'female div/dep/mar';45;own;1;'unskilled resident';good
'no credits/all paid';business;5293;'<100';unemployed;2;'male single';50;own;2;skilled;bad
'delayed previously';business;1908;'<100';'>=7';4;'male single';66;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;3342;'no known savings';'>=7';4;'male single';51;own;1;skilled;good
'critical/other existing credit';retraining;932;'no known savings';'4<=X<7';1;'female div/dep/mar';39;own;2;'unskilled resident';good
'no credits/all paid';business;3104;'<100';'4<=X<7';3;'male single';31;own;1;skilled;good
'existing paid';radio/tv;3913;'<100';'1<=X<4';2;'male single';23;own;1;skilled;good
'existing paid';furniture/equipment;3021;'<100';'1<=X<4';2;'male div/sep';24;rent;1;'unskilled resident';good
'existing paid';'new car';1364;'<100';'1<=X<4';2;'female div/dep/mar';64;own;1;skilled;good
'existing paid';radio/tv;625;'<100';'<1';4;'male mar/wid';26;own;1;'unskilled resident';good
'existing paid';education;1200;'no known savings';'1<=X<4';4;'female div/dep/mar';23;rent;1;skilled;good
'existing paid';radio/tv;707;'<100';'1<=X<4';4;'male single';30;own;2;skilled;good
'delayed previously';business;2978;'no known savings';'1<=X<4';4;'male single';32;own;2;skilled;good
'existing paid';'used car';4657;'<100';'1<=X<4';3;'male single';30;own;1;skilled;good
'no credits/all paid';repairs;2613;'<100';'1<=X<4';4;'male single';27;own;2;skilled;good
'existing paid';radio/tv;10961;'>=1000';'4<=X<7';1;'male single';27;own;2;skilled;bad
'existing paid';furniture/equipment;7865;'<100';'>=7';4;'male single';53;'for free';1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;1478;'<100';'4<=X<7';4;'male single';22;own;1;skilled;bad
'existing paid';furniture/equipment;3149;'<100';'<1';4;'male single';22;'for free';1;skilled;good
'existing paid';radio/tv;4210;'<100';'1<=X<4';4;'male single';26;own;1;skilled;bad
'existing paid';'new car';2507;'500<=X<1000';'>=7';2;'male single';51;'for free';1;'unskilled resident';good
'existing paid';radio/tv;2141;'100<=X<500';'4<=X<7';3;'male single';35;own;1;skilled;good
'existing paid';radio/tv;866;'<100';'1<=X<4';4;'male mar/wid';25;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;1544;'<100';'4<=X<7';2;'male single';42;own;3;'unskilled resident';good
'existing paid';radio/tv;1823;'<100';unemployed;4;'male single';30;own;1;'high qualif/self emp/mgmt';bad
'existing paid';'new car';14555;'no known savings';unemployed;1;'male single';23;own;1;'unemp/unskilled non res';bad
'existing paid';business;2767;'100<=X<500';'>=7';4;'male div/sep';61;rent;2;'unskilled resident';bad
'critical/other existing credit';radio/tv;1291;'<100';'1<=X<4';4;'female div/dep/mar';35;own;2;skilled;good
'existing paid';radio/tv;2522;'<100';'>=7';1;'male single';39;own;1;skilled;good
'existing paid';'new car';915;'no known savings';'>=7';4;'female div/dep/mar';29;own;1;skilled;bad
'existing paid';radio/tv;1595;'<100';'4<=X<7';3;'male single';51;own;1;skilled;good
'no credits/all paid';'used car';4605;'<100';'>=7';3;'male single';24;'for free';2;skilled;bad
'critical/other existing credit';business;1185;'<100';'1<=X<4';3;'female div/dep/mar';27;own;2;skilled;good
'all paid';retraining;3447;'500<=X<1000';'1<=X<4';4;'female div/dep/mar';35;own;1;'unskilled resident';good
'existing paid';business;1258;'<100';'4<=X<7';4;'male single';25;own;1;skilled;good
'critical/other existing credit';radio/tv;717;'<100';'>=7';4;'male single';52;own;3;skilled;good
'no credits/all paid';'new car';1204;'100<=X<500';'1<=X<4';4;'male single';35;rent;1;skilled;good
'existing paid';furniture/equipment;1925;'<100';'1<=X<4';2;'male single';26;own;1;skilled;good
'existing paid';radio/tv;433;'<100';unemployed;3;'female div/dep/mar';22;rent;1;skilled;bad
'critical/other existing credit';'new car';666;'>=1000';'4<=X<7';3;'female div/dep/mar';39;own;2;'unskilled resident';good
'existing paid';furniture/equipment;2251;'<100';'1<=X<4';1;'female div/dep/mar';46;own;1;'unskilled resident';good
'existing paid';'new car';2150;'<100';'1<=X<4';4;'female div/dep/mar';24;own;1;skilled;bad
'delayed previously';furniture/equipment;4151;'100<=X<500';'1<=X<4';2;'male single';35;own;2;skilled;good
'existing paid';furniture/equipment;2030;'no known savings';'4<=X<7';2;'male single';24;own;1;skilled;good
'delayed previously';radio/tv;7418;'no known savings';'1<=X<4';1;'male single';27;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;2684;'<100';'1<=X<4';4;'male single';35;own;2;'unskilled resident';good
'all paid';radio/tv;2149;'<100';'1<=X<4';4;'male div/sep';29;'for free';1;skilled;bad
'existing paid';'used car';3812;'100<=X<500';'<1';1;'female div/dep/mar';23;own;1;skilled;good
'critical/other existing credit';radio/tv;1154;'100<=X<500';unemployed;4;'female div/dep/mar';57;own;3;'unskilled resident';good
'existing paid';furniture/equipment;1657;'<100';'1<=X<4';2;'male single';27;own;1;skilled;good
'existing paid';radio/tv;1603;'<100';'>=7';4;'female div/dep/mar';55;own;1;skilled;good
'critical/other existing credit';'new car';5302;'<100';'>=7';2;'male single';36;'for free';3;'high qualif/self emp/mgmt';good
'critical/other existing credit';education;2748;'<100';'>=7';2;'female div/dep/mar';57;'for free';3;'unskilled resident';good
'critical/other existing credit';'new car';1231;'<100';'>=7';3;'male single';32;own;2;'unskilled resident';good
'existing paid';radio/tv;802;'<100';'>=7';4;'male single';37;own;1;skilled;bad
'critical/other existing credit';business;6304;'no known savings';'>=7';4;'male single';36;own;2;skilled;good
'existing paid';radio/tv;1533;'<100';'<1';4;'female div/dep/mar';38;own;1;skilled;good
'existing paid';'new car';8978;'<100';'>=7';1;'male div/sep';45;own;1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;999;'no known savings';'>=7';4;'male single';25;own;2;skilled;good
'existing paid';'new car';2662;'no known savings';'4<=X<7';4;'male single';32;own;1;skilled;good
'critical/other existing credit';furniture/equipment;1402;'500<=X<1000';'4<=X<7';3;'female div/dep/mar';37;rent;1;skilled;good
'all paid';'new car';12169;'no known savings';unemployed;4;'male single';36;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;3060;'<100';'4<=X<7';4;'male single';28;own;2;skilled;bad
'existing paid';repairs;11998;'<100';'<1';1;'male div/sep';34;own;1;'unskilled resident';bad
'existing paid';radio/tv;2697;'<100';'1<=X<4';1;'male single';32;own;1;skilled;good
